beneficiary_id,age,annual_income,family_size,land_holding_ac,scheme_amount,claims_per_year,distance_km,bank_txn_count,duplicate_aadhaar,ghost_beneficiary,is_fraud,scheme_type,state,scheme_type_enc,state_enc,income_per_member,claim_to_income,suspicious_score,aadhaar_id,flag_high_income,flag_excess_claims,flag_invalid_age,flag_high_amount,flag_no_txn,flag_ghost,flag_dup_aadhaar,total_flags,risk_level
9931,25,405999.47322677716,2,11.55395112235474,39387.43249860742,13,1.6492783213838305,0,1,0,1,PMAY,Maharashtra,2,3,135333.15774225906,0.09701326746140768,2,108436,0,1,0,1,1,0,1,4,HIGH RISK
9486,56,562520.8689342625,2,16.26091640992493,49585.736799345665,16,1.1079938429544862,1,1,1,1,Ration Card,Bihar,3,0,187506.95631142086,0.08814899391074225,3,113371,1,1,0,1,1,1,1,6,HIGH RISK
9921,3,404424.561336239,2,16.369313639203526,56255.501852900234,14,0.2923253903530729,2,1,1,1,PMAY,Bihar,2,0,134808.18711207967,0.13909976824172463,4,149743,0,1,1,1,0,1,1,5,HIGH RISK
9318,88,300000.0,2,12.426846678956696,38223.08938645566,9,0.3402410437859946,0,1,0,1,PMAY,Rajasthan,2,4,100000.0,0.12740987325527467,2,132001,0,1,0,1,1,0,1,4,HIGH RISK
9656,113,502684.34300085483,1,13.494396592632858,46240.70062709028,19,1.794956214032885,0,1,1,1,Ration Card,Maharashtra,3,3,251342.17150042742,0.09198736599529549,4,105577,1,1,1,1,1,1,1,7,HIGH RISK
9754,115,634035.4827369138,2,21.73885447823435,37745.64701515675,5,1.130811097109115,1,1,1,1,Ration Card,Rajasthan,3,4,211345.16091230462,0.05953229513264282,3,181392,1,0,1,1,1,1,1,6,HIGH RISK
9055,41,497554.6285775978,2,18.20989992126888,49449.653344365455,12,1.8174297281501428,1,1,0,1,PMAY,Tamil Nadu,2,5,165851.54285919925,0.09938517525312927,2,151308,0,1,0,1,1,0,1,4,HIGH RISK
9002,76,461533.1650691423,1,16.809016959442907,38077.21180411208,8,1.8386380059050003,0,1,0,1,Ration Card,UP,3,6,230766.58253457115,0.08250139358243987,2,168332,0,1,0,1,1,0,1,4,HIGH RISK
9239,27,584356.130710519,1,13.89373947088203,55695.83257738625,7,1.2163875203001897,2,1,1,1,MGNREGS,UP,0,6,292178.0653552595,0.09531129107582852,3,114634,1,1,0,1,0,1,1,5,HIGH RISK
9190,113,468456.4077004622,2,14.309072089692775,65404.82002993708,7,0.4506093360822807,1,0,0,1,Scholarship,Tamil Nadu,4,5,156152.13590015407,0.13961743149925335,2,200097,0,1,1,1,1,0,0,4,HIGH RISK
9124,107,655642.0191152666,2,11.296112489364212,40283.72197847995,6,1.4912295052162523,2,1,0,1,PMAY,Bihar,2,0,218547.33970508887,0.06144154792167137,1,164546,1,0,1,1,0,0,1,4,HIGH RISK
9150,113,1039889.6871993158,1,16.03205203328702,60566.99531869317,15,1.5643246314358974,2,1,1,1,PMAY,MP,2,2,519944.8435996579,0.05824361739580066,4,143930,1,1,1,1,0,1,1,6,HIGH RISK
9645,80,675474.4582213381,1,8.873408549628685,52483.59880529558,7,1.2590726310327653,2,1,1,1,MGNREGS,Bihar,0,0,337737.22911066905,0.07769875006783428,3,177657,1,1,0,1,0,1,1,5,HIGH RISK
8895,75,686448.5732558754,1,15.168271267855443,58885.7396305567,9,0.3840472124478318,1,0,0,1,Ration Card,MP,3,2,343224.2866279377,0.08578305228053064,1,200168,1,1,0,1,1,0,0,4,HIGH RISK
8847,20,534089.951485799,1,5.0,54488.27759886489,9,0.908390803929171,2,1,1,1,Ration Card,Gujarat,3,1,267044.9757428995,0.1020205967678029,3,164943,1,1,0,1,0,1,1,5,HIGH RISK
9203,1,343114.9727961692,2,9.466851769107603,43376.97413467118,10,1.7237369004654173,1,1,0,1,PMAY,Bihar,2,0,114371.65759872308,0.12642073693386352,3,123193,0,1,1,1,1,0,1,5,HIGH RISK
